id,name,channel,thumbnailId,description,participants,language,type,style,classes,categories
PLvGpI5t1gJ8TaNCghtSeC4mHsGOrIpl0v,ونفس,فقه النفس,inFlsCLf4I0,,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Lecture,,Self
PLvGpI5t1gJ8T0gukbGHh9mzAdkxR0-IaN,ألف باء التربية,فقه النفس,V2sGda1sRN4,,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Narration,Parents,Self
PLvGpI5t1gJ8RlXRPYbK2TRENwG2Okpm6p,فقه الفرح,فقه النفس,KWTKfdYO68A,لماذا فقه الفرح؟ ما معنى الفرح في لسان الوحيين؟ ألفاظ وكلمات ومترادفات؟ صور الفرح، ما معنى الفرح في فقه النفس؟ ثمرات الفرح وفقه الفرح، معوّقات الفرح وموانعه، فقه الفرح = كيف أفرح؟,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Narration,,Self
PLvGpI5t1gJ8TssEhATB3qtmaBOCKktEl_,من أحسن القصص - رمضان 1446,فقه النفس,yMNIqT49oSM,سلسلة مجالس رمضانية من أحس القصص القرآني = سورة يوسف + سورة الكهف + سورة مريم + سورة طه..,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Narration,,Self
PLvGpI5t1gJ8QBXD00hjpdYbH8ozN0ntE2,ألف باء الزواج,فقه النفس,gla27IuF5zM,,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Narration,Married,Self
PLvGpI5t1gJ8QSNakw-B9jBpkjj0f8W4kj,فقه الغضب,فقه النفس,IJYRoq75Mx0,هذه المجالس كانت حلقات من سلسلة مجالس التربية في فقه النفس ثم نويت إعادتها في سلسلة مجالس ألف باء التربية / موجّهة إلى الأهالي ثم الصغار,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Narration,Married,Self
PLvGpI5t1gJ8Q2G4FAz0bWUmcCemhoNoqd,النقص ووهم الكمال,فقه النفس,UIWkz1AtYrM,هذه المجالس كانت حلقات من سلسلة مجالس التربية في فقه النفس، رأيتُ أن أفصلها وأخصص لها قائمة لتكرار سؤال جمهور عنها وشدّة حاجتهم إليها,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Narration,,Self
PLvGpI5t1gJ8SMGdfV8v9IhTDwrFDSWD21,فقه الإخلاص,فقه النفس,ajy0XLlkxks,,عبدالرحمن ذاكر الهاشمي,Arabic,Educational,Narration,,Self
PLvGpI5t1gJ8TZOa8t3YVRACTSEOPLahUo,شرح كراسة قراءة النفس,فقه النفس,nW975wlN8eQ,,آدم الصقور,Arabic,Educational,Narration,,Self
PLsRtYZTCYnEcFL9kg5wLXNj-ZSX84t9Og,الشخصية القوية,ياسر الحزيمي,C6iHu964axs,الثقة وتوكيد الذات وتقدير وتقبل الذات وإجابة على تساؤلات متعلقة بالنفس البشرية والعلاقات الاجتماعية والتربية والسلوكيات الأبوية المؤثرة في الأبناء,ياسر الحزيمي,Arabic,Educational,Lecture,Parents,Self
PLsRtYZTCYnEdOlfBZP9RRtFzSzfjpI4nV,بودكاست وفي أنفسكم,ياسر الحزيمي,-g41MUVhGL0,,ياسر الحزيمي;أنس بن عوف,Arabic,Educational,Podcast,,Self
PLsRtYZTCYnEdPU1W5lbKCGSpdSk-xCr_z,بودكاست توّاق,ياسر الحزيمي,QhuGTc7eMOI,،في زمن بات الاندفاع نحو الأهداف سمة الإنسان المعاصر، يأتي لنا بودكاست تواق بحلقات تهدف إلى التوازن في مجالات الحياة عبر طرح متنوع مع ضيوف متخصصين,عبدالرحمن محمد المقبل;أسامة الجامع;صالح الدقلة;سليمان الهويسين,Arabic,Awareness,Podcast,,Self
PLsRtYZTCYnEd5KsBXtzR38jReRskHWUW4,الميثاق الغليظ,ياسر الحزيمي,9j2j3zzZtAs,سلسلة مركزية مركزة تتحدث عن أعظم علاقة بين اثنين (الزوج والزوجة) في عرض يجمع بين الحرف والرسم ليكون المغزى أكثر وضوحا والمعنى أقوى رسوخا,ياسر الحزيمي,Arabic,Awareness,Narration,Married,Self
PLsRtYZTCYnEcdpxCcewJ0ARC5WYwiZDjS,بودكاست خطوة - ملكوت,ياسر الحزيمي,ChPPnSA7qCM,سلسلة تتحدث عن حال الإنسان المعاصر وماذا خسر بفقدانه بوصلة الإيمان ؟ وعن نظرته للإله والذات والعالم من حوله ؟,ياسر الحزيمي;سليمان الناصر,Arabic,Educational,Podcast,,Self
